Organisationsnr,Namn,PostAdress,PostNr,PostOrt,BesöksAdress,BesöksPostNr,BesöksPostOrt,Tfn,Fax,Epost,Webbadress,SFS,Land,Ambassadör/Generalkonsul,PostAdress1,PostAdress2,PostAdress3,PostAdress4,PostAdress5,PostAdress6,PostAdress7,BesöksAdress1,BesöksAdress2,BesöksAdress3,BesöksAdress4,BesöksAdress5,BesöksAdress6,BesöksAdress7,Sort,URL_OK,HTTP_Status
202100-6933,Nämnden för prövning av oredlighet i forskning,BOX 2110,750 02,UPPSALA,Dag Hammarskjölds väg 7,752 37,UPPSALA,104573320.0,,registrator@npof.se,https://npof.se,2019:1152,,,,,,,,,,,,,,,,,,False,
202100-6370,PATENTOMBUDSNÄMNDEN,BOX 46,851 02,SUNDSVALL,,,,771670670.0,,patentombudsnamnden@patentombudsnamnden.se,www.bolagsverket.se/om/oss/fler/patentombud,2010:1054,,,,,,,,,,,,,,,,,,False,
202100-1090,RIKSANTIKVARIEÄMBETET,BOX 1114,621 22,VISBY,STORGATAN 41,114 55,STOCKHOLM,851918000.0,,registrator@raa.se,www.raa.se,2014:1585,,,,,,,,,,,,,,,,,,False,403.0
202100-1074,RIKSARKIVET,BOX 7223,187 13,TÄBY,Fyrverkarbacken 13,112 60,STOCKHOLM,104767000.0,,riksarkivet@riksarkivet.se,www.riksarkivet.se,2009:1593,,,,,,,,,,,,,,,,,,False,
202100-6784,Riksvärderingsnämnden,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,,,2007:859,,,,,,,,,,,,,,,,,,False,
202100-2585,RYMDSTYRELSEN,BOX 4006,171 04,SOLNA,Hemvärnsgatan 9,171 54,SOLNA,840907700.0,,rymdstyrelsen@snsa.se,www.rymdstyrelsen.se,2007:1115,,,,,,,,,,,,,,,,,,False,
202100-6008,Rättshjälpnämnden,Box 170,851 03,SUNDSVALL,Södra Tjärngatan 2,852 33,SUNDSVALL,60186891.0,,rattshjalpsnamnden@dom.se,www.domstol.se/rattshjalpsnamnden,2007:1079,,,,,,,,,,,,,,,,,,False,
202100-4789,Sida,BOX 2025,174 02,SUNDBYBERG,Rissneleden 110,174 57,SUNDBYBERG,86985000.0,,sida@sida.se,www.sida.se,2025:269,,,,,,,,,,,,,,,,,,False,403.0
202100-5869,Skiljenämnden i vissa trygghetsfrågor,Box 2218,103 15,STOCKHOLM,,000 00,STOCKHOLM,87000800.0,,registratur@kammarkollegiet.se,www.kammarkollegiet.se/kammarkollegiet/vi-arbetar-ocksa-med/naemndmyndigheter/skiljenaemnden-i-vissa-trygghetsfragor,2007:830,,,,,,,,,,,,,,,,,,False,404.0
202100-3310,SPELINSPEKTIONEN,BOX 199,645 23,STRÄNGNÄS,FINNINGEVÄGEN 54 B,645 42,STRÄNGNÄS,152650100.0,,registrator@spelinspektionen.se,www.lotteriinspektionen.se,2018:1476,,,,,,,,,,,,,,,,,,False,500.0
202100-0464,STATENS FÖRSVARSHISTORISKA MUSEER,BOX 14095,104 41,STOCKHOLM,RIDDARGATAN 13,114 51,STOCKHOLM,851956310.0,,info@sfhm.se,www.sfhm.se,2007:1178,,,,,,,,,,,,,,,,,,False,
202100-5828,Statens skaderegleringsnämnd,Box 2218,103 15,STOCKHOLM,,000 00,STOCKHOLM,87000800.0,,,http://www.kammarkollegiet.se/n-mndmyndigheter/skaderegleringsn-mnden,2007:826,,,,,,,,,,,,,,,,,,False,
202100-4763,Statens överklagandenämnd,BOX 2218,103 15,STOCKHOLM,,,,87000800.0,,registratur@kammarkollegiet.se,www.kammarkollegiet.se/namndmyndigheter/statens-overklagandenamnd/om-namnden,2007:835,,,,,,,,,,,,,,,,,,False,404.0
202100-3062,STOCKHOLMS UNIVERSITET,,106 91,STOCKHOLM,UNIVERSITETSVÄGEN 10 A,114 18,STOCKHOLM,8162000.0,,registrator@su.se,www.su.se,1993:100,,,,,,,,,,,,,,,,,,False,403.0
202100-2528,SVERIGES GEOLOGISKA UNDERSÖKNING,BOX 670,751 28,UPPSALA,Dragarbrunnsgatan 77,753 19,UPPSALA,18179000.0,,sgu@sgu.se,www.sgu.se,2008:1233,,,,,,,,,,,,,,,,,,False,
202100-6826,Utrikesförvaltningens antagningsnämnd,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,,,1991:360,,,,,,,,,,,,,,,,,,False,
202100-5216,VERKET FÖR INNOVATIONSSYSTEM,,101 58,STOCKHOLM,MÄSTER SAMUELSGATAN 56,101 58,STOCKHOLM,84733000.0,,vinnova@vinnova.se,www.vinnova.se,2009:1101,,,,,,,,,,,,,,,,,,False,
202100-6024,Överklagandenämnden för nämndemannauppdrag,Box 714,851 21,SUNDSVALL,Södra Tjärngatan 2,852 33,SUNDSVALL,60186600.0,,overklagandenamnden@dom.se,www.kammarrattenisundsvall.se,2007:1081,,,,,,,,,,,,,,,,,,False,
202100-5273,ÖVERKLAGANDENÄMNDEN FÖR STUDIESTÖD,BOX 110,871 23,HÄRNÖSAND,BACKGRÄND 9,871 32,HÄRNÖSAND,611347500.0,,registrator@oks.se,www.oks.se,2007:1348,,,,,,,,,,,,,,,,,,False,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
,Sveriges ambassad Kabul,,,,,,,+93 20 210 49 12,,ambassaden.kabul@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/afghanistan-kabul,,Afghanistan,Torkel Stiernlöf,Embassy of Sweden,"MoI-Street, opposite the MoI",Shar-e Naw,"Kabul, Afghanistan",,,,Sveriges Ambassad,"MoI-Street, opposite the MoI",Shar-e Naw,"Kabul, Afghanistan",,,,,False,404.0
,Sveriges ambassad Luanda,,,,,,,+244 222 447522,,ambassaden.luanda@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/angola-luanda,,Angola,Ewa Polano,Embassy of Sweden,C.P. 1130,Luanda,Angola,,,,Rua Garcia Neto nº 9,Miramar,Luanda,,,,,,False,404.0
,Sveriges EU-representation Bryssel,,,,,,,+32 2 289 56 11,+32 2 289 56 00,representationen.bryssel@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/europeiska-unionen,,Belgien,Lars Danielsson,Permanent Representation of Sweden to the European Union,Square de Meeûs 30,1000 Bryssel,Belgien,,,,Sveriges ständiga representation vid Europeiska unionen,Square de Meeûs 30,Bryssel,,,,,,False,
,Sveriges ambassad Brasilia,,,,,,,+55 (61) 3442 52 00,+55 (61) 3443 11 87,ambassaden.brasilia@gov.se,www.swedenabroad.com (www.suecia.org.br),,Brasilien,Johanna Brismar Skoog,Sveriges Ambassad i Brasilia,Avenida das Nações Qd.807,Lote 29,70419-900 Brasília - DF,Brasilien,,,Sveriges Ambassad i Brasilia,"Avenida das Nações,","Qd.807, lote 29",70419-900 Brasilia - DF,,,,,False,
,Sveriges ambassad Ouagadougou,,,,,,,+226 50 49 61 70,,ambassaden.ouagadougou@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/burkina-faso-ouagadougou/,,Burkina Faso,Maria Sargren,Ambassade de Suède,11 BP 755 CMS,Ouagadougou 11,Burkina Faso,,,,Sveriges ambassad,"Avenue de l'Europe, 187",Burkina Faso,,,,,,False,404.0
,"Sveriges delegation Paris, OECD",,,,,,,+33 1 44 18 88 00,+33 1 44 18 88 10,oecd-del.paris@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/oecd-unesco/om-delegationen/delegationens-personal,,Frankrike,Anna Brandt,La délégation de la Suède auprès de l'OCDE,17 rue Barbet-de-Jouy,75007 Paris,Frankrike,,,,La délégation de la Suède auprès de l'OCDE,17 rue Barbet-de-Jouy,75007 Paris,,,,,,False,404.0
,Sveriges delegation UNESCO Paris,,,,,,,+33 1 45 68 34 50,,unesco-del.paris@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/oecd-unesco/om-delegationen/delegationens-personal,,Frankrike,Anna Brandt,Déöégation de la Suède auprès de IÚNESCO,1 rue Miollis,75015 Paris,,,,,,,,,,,,,False,404.0
,Sveriges ambassad Bamako,,,,,,,+223 20 70 70 00,+223 20 70 70 10,ambassaden.bamako@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/mali-bamako,,Mali,Kristina Kühnel,Ambassade de Suède,BP E2093,Bamako,Mali,,,,Ambassade de Suède,"Immeuble UATT, 2eme etage",Quartier du Fleuve,"Bamako, Mali",,,,,False,404.0
,Sveriges ambassad Lima,,,,,,,+511 5669240,+511 2210298,ambassaden.lima@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/peru-lima,,Peru,Maria Cramér,Calle La Santa María 120,San Isidro,Lima 27,Peru,,,,Calle La Santa María 120,San Isidro,Lima,Peru,,,,,False,404.0
,Sveriges ambassad Washington,,,,,,,+1 202 467 2600,,ambassaden.washington@gov.se,www.swedenabroad.se/sv/utlandsmyndigheter/usa-washington,,USA,Karin Olofsdotter,Embassy of Sweden,"2900 K Street, N.W","Washington, DC 20007",USA,,,,2900 K Street,"N.W., Washington",,,,,,,False,
855104-0721,SJÄTTE AP-FONDEN,KÖPMANSGATAN 32,411 06,GÖTEBORG,KÖPMANSGATAN 32,411 06,GÖTEBORG,317411000.0,,info@apfond6.se,www.apfond6.se,2000:193,,,,,,,,,,,,,,,,,6.0,False,
202100-2742,GÄLLIVARE TINGSRÄTT,BOX 23,982 21,GÄLLIVARE,LASARETTSGATAN 22,982 32,GÄLLIVARE,97075800.0,,gallivare.tingsratt@dom.se,,1988:317,,,,,,,,,,,,,,,,,9.0,False,
202100-2742,GÖTA HOVRÄTT,BOX 2223,550 02,JÖNKÖPING,HAMNGATAN 11,553 16,JÖNKÖPING,36156900.0,,gota.hovratt@dom.se,www.gotahovratt.se,1988:317,,,,,,,,,,,,,,,,,9.0,False,
202100-2742,HÖGSTA DOMSTOLEN,BOX 2066,103 12,STOCKHOLM,RIDDARHUSTORGET 8,111 28,STOCKHOLM,856166600.0,,hogsta.domstolen@dom.se,www.hogstadomstolen.se,1988:317,,,,,,,,,,,,,,,,,9.0,False,
202100-2742,HÖGSTA FÖRVALTNINGSDOMSTOLEN,BOX 2293,103 17,STOCKHOLM,BIRGER JARLS TORG 13,111 28,STOCKHOLM,856167600.0,,hogstaforvaltningsdomstolen@dom.se,www.hogstaforvaltningsdomstolen.se,1988:317,,,,,,,,,,,,,,,,,9.0,False,
202100-2742,KAMMARRÄTTEN I SUNDSVALL,BOX 714,851 21,SUNDSVALL,Södra Tjärngatan 2,852 33,SUNDSVALL,60186600.0,,kammarrattenisundsvall@dom.se,www.kammarrattenisundsvall.se,1988:317,,,,,,,,,,,,,,,,,9.0,False,
