Organisationsnr,Namn,PostAdress,PostNr,PostOrt,BesöksAdress,BesöksPostNr,BesöksPostOrt,Tfn,Fax,Epost,Webbadress,SFS,Land,Ambassadör/Generalkonsul,PostAdress1,PostAdress2,PostAdress3,PostAdress4,PostAdress5,PostAdress6,PostAdress7,BesöksAdress1,BesöksAdress2,BesöksAdress3,BesöksAdress4,BesöksAdress5,BesöksAdress6,BesöksAdress7,Sort
202100-0068,BROTTSFÖREBYGGANDE RÅDET,BOX 1386,111 93,STOCKHOLM,FLEMINGGATAN 14,112 26,STOCKHOLM,852758400.0,,registrator@bra.se,www.bra.se,2016:1201,,,,,,,,,,,,,,,,,
202100-3435,BROTTSOFFERMYNDIGHETEN,BOX 470,901 09,UMEÅ,STORGATAN 49,903 26,UMEÅ,90708200.0,,registrator@brottsoffermyndigheten.se,www.brottsoffermyndigheten.se,2007:1171,,,,,,,,,,,,,,,,,
202100-6909,CENTRALA DJURFÖRSÖKSETISKA NÄMNDEN,,551 82,JÖNKÖPING,,000 00,JÖNKÖPING,,,infoCDFN@jordbruksverket.se,www.cdfn.se,1988:539,,,,,,,,,,,,,,,,,
202100-1819,CENTRALA STUDIESTÖDSNÄMNDEN,,851 82,SUNDSVALL,NORRA TJÄRNGATAN 2,852 33,SUNDSVALL,60186000.0,,registrator@csn.se,www.csn.se,2017:1114,,,,,,,,,,,,,,,,,
202100-6842,Delegationen för folkrättslig granskning av vapenprojekt,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,,,2007:936,,,,,,,,,,,,,,,,,
202100-6073,Diskrimineringsombudsmannen,Box 4057,169 04,SOLNA,Råsundavägen 18,169 67,SOLNA,,,do@do.se,www.do.se,2008:1401,,,,,,,,,,,,,,,,,
202100-6081,Domarnämnden,BOX 2330,103 18,STOCKHOLM,BIRGER JARLS TORG 5,111 28,STOCKHOLM,856166950.0,,domarnamnden@dom.se,www.domstol.se/domarnamnden,2010:1793,,,,,,,,,,,,,,,,,
202100-6552,E-hälsomyndigheten,Box 913,391 29,KALMAR,SÖDRA LÅNGGATAN 60,392 31,KALMAR,104586200.0,,registrator@ehalsomyndigheten.se,www.ehalsomyndigheten.se,2013:1031,,,,,,,,,,,,,,,,,
202100-4979,EKOBROTTSMYNDIGHETEN,BOX 22098,104 22,STOCKHOLM,Hantverkargatan 11,112 21,STOCKHOLM,105629000.0,,huvudregistrator@ekobrottsmyndigheten.se,www.ekobrottsmyndigheten.se,2015:744,,,,,,,,,,,,,,,,,
202100-5026,EKONOMISTYRNINGSVERKET,BOX 12028,102 21,STOCKHOLM,Fleminggatan 20,112 26,STOCKHOLM,86904300.0,,registrator@esv.se,www.esv.se,2016:1023,,,,,,,,,,,,,,,,,
202100-4466,ELSÄKERHETSVERKET,BOX 4,681 21,KRISTINEHAMN,Nya kyrkogatan 18 B,681 31,KRISTINEHAMN,101680500.0,,registrator@elsakerhetsverket.se,www.elsakerhetsverket.se,2007:1121,,,,,,,,,,,,,,,,,
202100-5695,Energimarknadsinspektionen,BOX 155,631 03,ESKILSTUNA,Libergsgatan 6,632 21,ESKILSTUNA,16162700.0,,registrator@ei.se,www.ei.se,2016:742,,,,,,,,,,,,,,,,,
202100-6925,ETIKPRÖVNINGSMYNDIGHETEN,Box 2110,750 02,UPPSALA,DROTTNINGGATAN 7,752 37,UPPSALA,104750800.0,,registrator@etikprovning.se,www.etikprovning.se,2018:1879,,,,,,,,,,,,,,,,,
202100-2098,EXPORTKREDITNÄMNDEN,BOX 3064,103 61,STOCKHOLM,KUNGSGATAN 36,111 35,STOCKHOLM,87880000.0,,info@ekn.se,www.ekn.se,2007:1217,,,,,,,,,,,,,,,,,
202100-4870,FASTIGHETSMÄKLARINSPEKTIONEN,BOX 5045,650 05,KARLSTAD,VÅXNÄSGATAN 10,653 40,KARLSTAD,104900100.0,,registrator@fmi.se,www.fmi.se,2009:606,,,,,,,,,,,,,,,,,
202100-0043,FIDEIKOMMISSNÄMNDEN,BOX 2218,103 15,STOCKHOLM,,,,87000800.0,,registratur@kammarkollegiet.se,www.kammarkollegiet.se/om-oss/kammarkollegiets-uppgifter/kammarkollegiets-stod-till-andra-myndigheter/fideikommissnamnden,2007:1074,,,,,,,,,,,,,,,,,
202100-4235,FINANSINSPEKTIONEN,BOX 7821,103 97,STOCKHOLM,Sveavägen 44,111 34,STOCKHOLM,840898000.0,,finansinspektionen@fi.se,www.fi.se,2023:910,,,,,,,,,,,,,,,,,
202100-5687,FINANSPOLITISKA RÅDET,Box 3273,103 65,STOCKHOLM,Fleminggatan 7,112 26,STOCKHOLM,84535990.0,,info@fpr.se,www.fpr.se,2011:446,,,,,,,,,,,,,,,,,
202100-5380,FOLKE BERNADOTTEAKADEMIN,Box 27068,102 51,STOCKHOLM,Sandövägen 1,872 64,SANDÖVERKEN,104562300.0,,info@fba.se,www.fba.se,2024:1026,,,,,,,,,,,,,,,,,
202100-6545,Folkhälsomyndigheten,,171 82,SOLNA,NOBELS VÄG 18,171 65,SOLNA,102052000.0,,info@folkhalsomyndigheten.se,www.folkhalsomyndigheten.se,2021:248,,,,,,,,,,,,,,,,,
202100-7030,FONDTORGSNÄMNDEN,BOX 38040,100 64,STOCKHOLM,Bruksvägen 11,147 43,TUMBA,104598500.0,,registrator@ftn.se,www.ftn.se,2022:764,,,,,,,,,,,,,,,,,
202100-5893,Forskarskattenämnden,Box 24144,104 51,STOCKHOLM,Karlavägen 108,115 26,STOCKHOLM,105747957.0,,kansliet@forskarskattenamnden.se,www.forskarskattenamnden.se,2007:786,,,,,,,,,,,,,,,,,
202100-5232,"FORSKNINGSRÅDET F MILJÖ, AREELLA NÄRINGAR OCH SAMHÄLLSBYGGANDE",BOX 1206,111 82,STOCKHOLM,DROTTNINGGATAN 89,113 60,STOCKHOLM,87754000.0,,registrator@formas.se,www.formas.se,2009:1024,,,,,,,,,,,,,,,,,
202100-5240,"FORSKNINGSRÅDET FÖR HÄLSA, ARBETSLIV OCH VÄLFÄRD",MAGNUS LADULÅSGATAN 65,118 27,STOCKHOLM,MAGNUS LADULÅSGATAN 65,118 27,STOCKHOLM,87754070.0,,forte@forte.se,www.forte.se,2007:1431,,,,,,,,,,,,,,,,,
202100-4607,FORTIFIKATIONSVERKET,,631 89,ESKILSTUNA,KUNGSGATAN 43,632 17,ESKILSTUNA,,,fortv@fortifikationsverket.se,www.fortifikationsverket.se,2007:758,,,,,,,,,,,,,,,,,
202100-5356,FORUM FÖR LEVANDE HISTORIA,Box 2123,103 13,STOCKHOLM,Stora Nygatan 10-12,111 27,STOCKHOLM,87238750.0,,info@levandehistoria.se,www.levandehistoria.se,2007:1197,,,,,,,,,,,,,,,,,
202100-0340,FÖRSVARETS MATERIELVERK,,115 88,STOCKHOLM,BANÉRGATAN 62,115 53,STOCKHOLM,87824000.0,,registrator@fmv.se,www.fmv.se,2007:854,,,,,,,,,,,,,,,,,
202100-0365,FÖRSVARETS RADIOANSTALT,BOX 301,161 26,BROMMA,RÖRBYVÄGEN 20,178 93,DROTTNINGHOLM,105574600.0,,fra@fra.se,www.fra.se,2025:237,,,,,,,,,,,,,,,,,
202100-4730,FÖRSVARSHÖGSKOLAN,BOX 27805,115 93,STOCKHOLM,DROTTNING KRISTINAS VÄG 37,114 28,STOCKHOLM,855342500.0,,registrator@fhs.se,www.fhs.se,2007:1164,,,,,,,,,,,,,,,,,
202100-4615,FÖRSVARSMAKTEN,,107 85,STOCKHOLM,Lidingövägen 24,115 57,STOCKHOLM,87887500.0,,exp-hkv@mil.se,www.forsvarsmakten.se,2024:1333,,,,,,,,,,,,,,,,,
202100-5521,FÖRSÄKRINGSKASSAN,BOX 42006,126 12,STOCKHOLM,LM ERICSSONS VÄG 28,126 26,HÄGERSTEN,87869000.0,,huvudkontoret@forsakringskassan.se,www.forsakringskassan.se,2009:1174,,,,,,,,,,,,,,,,,
202100-4813,GENTEKNIKNÄMNDEN,BOX 1035,101 38,STOCKHOLM,,,,8271254.0,,genteknik@genteknik.se,www.genteknik.se,2007:1075,,,,,,,,,,,,,,,,,
202100-6859,Granskningsnämnden för försvarsuppfinningar,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,,,2007:855,,,,,,,,,,,,,,,,,
202100-4334,Gymnastik- och idrottshögskolan (GIH),BOX 5626,114 86,STOCKHOLM,LIDINGÖVÄGEN 1,114 33,STOCKHOLM,812053700.0,,registrator@gih.se,www.gih.se,1993:100,,,,,,,,,,,,,,,,,
202100-3153,GÖTEBORGS UNIVERSITET,,405 30,GÖTEBORG,UNIVERSITETSPLATSEN 1  Vasaparken,411 24,GÖTEBORG,317860000.0,,,www.gu.se,1993:100,,,,,,,,,,,,,,,,,
202100-4250,HARPSUNDSNÄMNDEN,HARPSUND,642 63,MELLÖSA,HARPSUND,642 63,MELLÖSA,15760003.0,,christoffer@harpsund.se,www.harpsund.se,2007:1227,,,,,,,,,,,,,,,,,
202100-6420,HAVS- OCH VATTENMYNDIGHETEN,BOX 11930,404 39,GÖTEBORG,GULLBERGS STRANDGATA 15,411 04,GÖTEBORG,106986000.0,,havochvatten@havochvatten.se,www.havochvatten.se,2011:619,,,,,,,,,,,,,,,,,
202100-3765,HÄLSO- & SJUKVÅRDENS ANSVARSNÄMND,,106 30,STOCKHOLM,,,,752473000.0,,socialstyrelsen@socialstyrelsen.se,www.hsan.se,2011:582,,,,,,,,,,,,,,,,,
202100-2908,HÖGSKOLAN DALARNA,,791 88,FALUN,HÖGSKOLEGATAN 2,791 31,FALUN,23778000.0,,registrator@du.se,www.du.se,1993:100,,,,,,,,,,,,,,,,,
202100-3138,HÖGSKOLAN I BORÅS,,501 90,BORÅS,ALLÉGATAN 1,503 32,BORÅS,334354000.0,,registrator@hb.se,www.hb.se,1993:100,,,,,,,,,,,,,,,,,
202100-2890,HÖGSKOLAN I GÄVLE,,801 76,GÄVLE,KUNGSBÄCKSVÄGEN 47,802 67,GÄVLE,26648500.0,,registrator@hig.se,www.hig.se,1993:100,,,,,,,,,,,,,,,,,
202100-3203,HÖGSKOLAN I HALMSTAD,BOX 823,301 18,HALMSTAD,KRISTIAN IV:S VÄG 3,302 50,HALMSTAD,,,registrator@hh.se,www.hh.se,1993:100,,,,,,,,,,,,,,,,,
202100-3146,HÖGSKOLAN I SKÖVDE,BOX 408,541 28,SKÖVDE,HÖGSKOLEVÄGEN 1,549 55,SKÖVDE,500448000.0,,registrator@his.se,www.his.se,1993:100,,,,,,,,,,,,,,,,,
202100-3195,HÖGSKOLAN KRISTIANSTAD,,291 88,KRISTIANSTAD,ELMETORPSVÄGEN 15,291 39,KRISTIANSTAD,442503000.0,,info@hkr.se,www.hkr.se,1993:100,,,,,,,,,,,,,,,,,
202100-4052,HÖGSKOLAN VÄST,,461 86,TROLLHÄTTAN,GUSTAVA MELINS GATA 2,461 32,TROLLHÄTTAN,520223000.0,,registrator@hv.se,www.hv.se,1993:100,,,,,,,,,,,,,,,,,
202100-6867,Högskolans avskiljandenämnd,BOX 6028,121 06,JOHANNESHOV,HAMMARBYBACKEN 31,121 06,JOHANNESHOV,856308700.0,,han@han.se,www.han.se,2007:990,,,,,,,,,,,,,,,,,
202100-5877,ILO-KOMMITTÉN,,103 33,STOCKHOLM,Fredsgatan 8,111 52,STOCKHOLM,84051000.0,,a.ilo-kommitten@regeringskansliet.se,www.svenskailo-kommitten.se,1977:987,,,,,,,,,,,,,,,,,
202100-5414,INSPEKTIONEN FÖR ARBETSLÖSHETSFÖRSÄKRING,BOX 210,641 22,KATRINEHOLM,KÖPMANGATAN 2,641 30,KATRINEHOLM,,,iaf@iaf.se,www.iaf.se,2007:906,,,,,,,,,,,,,,,,,
202100-6248,INSPEKTIONEN FÖR SOCIALFÖRSÄKRINGEN,BOX 1056,405 22,GÖTEBORG,Lilla bommen 1,411 04,GÖTEBORG,101741500.0,,registrator@isf.se,www.isf.se,2009:602,,,,,,,,,,,,,,,,,
202100-4912,INSPEKTIONEN FÖR STRATEGISKA PRODUKTER,BOX 6086,171 06,SOLNA,VRETENVÄGEN 13 B,171 54,SOLNA,,,registrator@isp.se,www.isp.se,2010:1101,,,,,,,,,,,,,,,,,
202100-6537,Inspektionen för vård och omsorg,BOX 45184,104 30,STOCKHOLM,SOLNAVÄGEN 4,113 68,STOCKHOLM,107885000.0,,registrator@ivo.se,www.ivo.se,2013:196,,,,,,,,,,,,,,,,,
202100-4946,INSTITUTET FÖR ARBETSMARKNADS-OCH UTBILDNINGSPOLITISK UTVÄRDERING,BOX 513,751 20,UPPSALA,KYRKOGÅRDSGATAN 6,753 12,UPPSALA,184717070.0,,ifau@ifau.uu.se,www.ifau.se,2007:911,,,,,,,,,,,,,,,,,
202100-7022,INSTITUTET FÖR MÄNSKLIGA RÄTTIGHETER,BOX 2125,220 02,LUND,Mobilvägen 10,223 62,LUND,,,registrator@mrinstitutet.se,www.mrinstitutet.se,2021:1198,,,,,,,,,,,,,,,,,
202100-3567,INSTITUTET FÖR RYMDFYSIK,BOX 812,981 28,KIRUNA,Bengt Hultqvists väg 1,981 92,KIRUNA,98079000.0,,irf@irf.se,www.irf.se,2007:1163,,,,,,,,,,,,,,,,,
202100-1082,Institutet för språk och folkminnen,BOX 135,751 04,UPPSALA,VON KRAEMERS ALLÉ 19,752 37,UPPSALA,200283333.0,,registrator@isof.se,www.isof.se,2007:1181,,,,,,,,,,,,,,,,,
202100-0050,Integritetsskyddsmyndigheten,BOX 8114,104 20,STOCKHOLM,Fleminggatan 14,112 26,STOCKHOLM,86576100.0,,imy@imy.se,www.imy.se,2007:975,,,,,,,,,,,,,,,,,
202100-0035,JUSTITIEKANSLERN,BOX 2308,103 17,STOCKHOLM,BIRGER JARLS TORG 12,111 28,STOCKHOLM,104759300.0,,registrator@jk.se,www.jk.se,1975:1345,,,,,,,,,,,,,,,,,
202100-6693,Jämställdhetsmyndigheten,Vikingsgatan 3,411 04,GÖTEBORG,Vikingsgatan 3,411 04,GÖTEBORG,,,info@jamstalldhetsmyndigheten.se,www.jamstalldhetsmyndigheten.se,2017:937,,,,,,,,,,,,,,,,,
202100-0829,KAMMARKOLLEGIET,BOX 2218,103 15,STOCKHOLM,SLOTTSBACKEN 6,111 30,STOCKHOLM,87000800.0,,registratur@kammarkollegiet.se,www.kammarkollegiet.se,2007:824,,,,,,,,,,,,,,,,,
202100-3120,KARLSTADS UNIVERSITET,,651 88,KARLSTAD,UNIVERSITETSGATAN 2,656 37,KARLSTAD,547001000.0,,registrator@kau.se,www.kau.se,1993:100,,,,,,,,,,,,,,,,,
202100-2973,KAROLINSKA INSTITUTET,,171 77,STOCKHOLM,NOBELS VÄG 6,171 65,SOLNA,852480000.0,,registrator@ki.se,www.ki.se,1993:100,,,,,,,,,,,,,,,,,
202100-3880,KEMIKALIEINSPEKTIONEN,BOX 2,172 13,SUNDBYBERG,Vasagatan 12 D,172 67,SUNDBYBERG,,,kemi@kemi.se,www.kemi.se,2009:947,,,,,,,,,,,,,,,,,
202100-6719,Klimatpolitiska rådet,BOX 1206,111 82,STOCKHOLM,Drottninggatan 89,111 36,STOCKHOLM,87754170.0,,kansli@klimatpolitiskaradet.se,www.klimatpolitiskaradet.se,2017:1268,,,,,,,,,,,,,,,,,
202100-2007,KOMMERSKOLLEGIUM,BOX 6803,113 86,STOCKHOLM,FLEMMINGGATAN 14,112 26,STOCKHOLM,86904800.0,,registrator@kommerskollegium.se,www.kommerskollegium.se,2012:990,,,,,,,,,,,,,,,,,
202100-0845,KONJUNKTURINSTITUTET,FLEMINGGATAN 7,112 26,STOCKHOLM,Fleminggatan 7,112 26,STOCKHOLM,84535900.0,,registrator@konj.se,www.konj.se,2007:759,,,,,,,,,,,,,,,,,
202100-4342,KONKURRENSVERKET,RINGVÄGEN 100,118 60,STOCKHOLM,RINGVÄGEN 100,118 60,STOCKHOLM,87001600.0,,konkurrensverket@kkv.se,www.konkurrensverket.se,2007:1117,,,,,,,,,,,,,,,,,
202100-1199,KONSTFACK,Box 3601,126 27,STOCKHOLM,LM ERICSSONS VÄG 14,126 26,HÄGERSTEN,84504100.0,,registrator@konstfack.se,www.konstfack.se,1993:100,,,,,,,,,,,,,,,,,
202100-3252,KONSTNÄRSNÄMNDEN,MARIA SKOLGATA 83,118 53,STOCKHOLM,MARIA SKOLGATA 83,118 53,STOCKHOLM,850655000.0,,info@konstnarsnamnden.se,www.konstnarsnamnden.se,2007:1199,,,,,,,,,,,,,,,,,
202100-2064,KONSUMENTVERKET,BOX 48,651 02,KARLSTAD,TAGE ERLANDERGATAN 8 A,652 20,KARLSTAD,771423300.0,,konsumentverket@konsumentverket.se,www.konsumentverket.se,2009:607,,,,,,,,,,,,,,,,,
202100-5810,Krigsförsäkringsnämnden,Box 7821,103 97,STOCKHOLM,,000 00,STOCKHOLM,87878000.0,,,http://www.regeringen.se/myndigheter-med-flera/krigsforsakringsnamnden/,2007:842,,,,,,,,,,,,,,,,,
202100-0225,KRIMINALVÅRDEN,,601 80,NORRKÖPING,SLOTTSGATAN 78,602 22,NORRKÖPING,772280800.0,,hk@kriminalvarden.se,www.kriminalvarden.se,2023:797,,,,,,,,,,,,,,,,,
202100-5646,KRONOFOGDEMYNDIGHETEN,Box 1050,172 21,SUNDBYBERG,ESPLANADEN 1,172 67,SUNDBYBERG,771737300.0,,kontakt@kronofogden.se,www.kronofogden.se,2016:1333,,,,,,,,,,,,,,,,,
202100-1710,KUNGLIGA BIBLIOTEKET,BOX 5039,102 41,STOCKHOLM,HUMLEGÅRDSGATAN 26,114 46,STOCKHOLM,107093000.0,,kungl.biblioteket@kb.se,www.kb.se,2008:1421,,,,,,,,,,,,,,,,,
202100-2957,KUNGLIGA KONSTHÖGSKOLAN,BOX 16315,103 26,STOCKHOLM,FLAGGMANSVÄGEN 1,111 49,STOCKHOLM,86144000.0,,info@kkh.se,www.kkh.se,1993:100,,,,,,,,,,,,,,,,,
202100-1215,KUNGLIGA MUSIKHÖGSKOLAN,BOX 27711,115 91,STOCKHOLM,Valhallavägen 105,115 51,STOCKHOLM,,,registrator@kmh.se,www.kmh.se,1993:100,,,,,,,,,,,,,,,,,
202100-3054,KUNGLIGA TEKNISKA HÖGSKOLAN,,100 44,STOCKHOLM,Brinellvägen 8,114 28,STOCKHOLM,87906000.0,,registrator@kth.se,www.kth.se,1993:100,,,,,,,,,,,,,,,,,
202100-3997,KUSTBEVAKNINGEN,BOX 536,371 23,KARLSKRONA,BASTIONSGATAN 18,371 32,KARLSKRONA,776707000.0,,registrator@kustbevakningen.se,www.kustbevakningen.se,2019:84,,,,,,,,,,,,,,,,,
202100-4904,KÄRNAVFALLSFONDEN,BOX 2218,103 15,STOCKHOLM,BIRGER JARLSGATAN 16,114 34,STOCKHOLM,87000800.0,,karnavfallsfonden@kammarkollegiet.se,www.karnavfallsfonden.se,2007:1055,,,,,,,,,,,,,,,,,
202100-5315,LAGRÅDET,BOX 2066,103 12,STOCKHOLM,Birger Jarls Torg 5,111 28,STOCKHOLM,856166600.0,,lagradet@dom.se,www.lagradet.se,2003:333,,,,,,,,,,,,,,,,,
202100-4888,LANTMÄTERIET,,801 82,GÄVLE,LANTMÄTERIGATAN 2 C,802 64,GÄVLE,771636363.0,,lantmateriet@lm.se,www.lantmateriet.se,2009:946,,,,,,,,,,,,,,,,,
202100-3096,LINKÖPINGS UNIVERSITET,,581 83,LINKÖPING,MÄSTER MATTIAS VÄG 8,583 30,LINKÖPING,13281000.0,,registrator@liu.se,www.liu.se,1993:100,,,,,,,,,,,,,,,,,
202100-6271,Linnéuniversitetet,,351 95,VÄXJÖ,UNIVERSITETSPLATSEN 1,352 52,VÄXJÖ,772288000.0,,info@lnu.se,www.lnu.se,1993:100,,,,,,,,,,,,,,,,,
202100-1850,LIVSMEDELSVERKET,BOX 622,751 26,UPPSALA,DAG HAMMARSKJÖLDS VÄG 56 A,752 37,UPPSALA,18175500.0,,livsmedelsverket@slv.se,www.livsmedelsverket.se,2009:1426,,,,,,,,,,,,,,,,,
202100-6735,Lokala säkerhetsnämnden vid Forsmark,BOX 66,742 21,ÖSTHAMMAR,,000 00,ÖSTHAMMAR,,,,www.osthammar.se/sv/organisation/namnd/lokala-sakerhetsnamnden/,2007:1054,,,,,,,,,,,,,,,,,
202100-6743,Lokala säkerhetsnämnden vid Oskarshamn,BOX 706,572 28,OSKARSHAMN,,000 00,OSKARSHAMN,,,,www.oskarshamn.se/mer-om-kommunen/karnenergi-och-karnavfall/lokala-sakerhetsnamnden-vid-oskarshamns-karnkraftverk-och-karnenergiberedskap/,2007:1054,,,,,,,,,,,,,,,,,
202100-6750,Lokala säkerhetsnämnden vid Ringhals,,432 80,VARBERG,,000 00,VARBERG,,,,www.varberg.se/kommunpolitik/kommunensorganisation/lokalasakerhetsnamnden.4.12d3b98d13f7ba71e5a1edb.html,2007:1054,,,,,,,,,,,,,,,,,
202100-2841,LULEÅ TEKNISKA UNIVERSITET,,971 87,LULEÅ,UNIVERSITETSOMRÅDET PORSÖN,977 54,LULEÅ,920491000.0,,registrator@ltu.se,www.ltu.se,1993:100,,,,,,,,,,,,,,,,,
202100-3211,LUNDS UNIVERSITET,BOX 177,221 00,LUND,KYRKOGATAN 8,222 22,LUND,462220000.0,,lu@lu.se,www.lu.se,1993:100,,,,,,,,,,,,,,,,,
202100-4078,LÄKEMEDELSVERKET,BOX 26,751 03,UPPSALA,DAG HAMMARSKJÖLDS VÄG 42,752 37,UPPSALA,,,registrator@lakemedelsverket.se,www.lakemedelsverket.se,2020:57,,,,,,,,,,,,,,,,,
202100-2320,LÄNSSTYRELSEN I BLEKINGE LÄN,,371 86,KARLSKRONA,SKEPPSBROKAJEN 4,371 33,KARLSKRONA,102240000.0,,blekinge@lansstyrelsen.se,www.lansstyrelsen.se/blekinge,2017:868,,,,,,,,,,,,,,,,,
202100-2429,LÄNSSTYRELSEN I DALARNAS LÄN,,791 84,FALUN,ÅSGATAN 38,791 72,FALUN,102250000.0,,dalarna@lansstyrelsen.se,www.lansstyrelsen.se/dalarna,2017:868,,,,,,,,,,,,,,,,,
202100-2312,LÄNSSTYRELSEN I GOTLANDS LÄN,,621 85,VISBY,VISBORGSALLÉN 4,621 50,VISBY,102239000.0,,gotland@lansstyrelsen.se,www.lansstyrelsen.se/gotland,2017:868,,,,,,,,,,,,,,,,,
202100-2437,LÄNSSTYRELSEN I GÄVLEBORGS LÄN,,801 70,GÄVLE,BORGMÄSTARPLAN 2,802 66,GÄVLE,102251000.0,,gavleborg@lansstyrelsen.se,www.lansstyrelsen.se/gavleborg,2017:868,,,,,,,,,,,,,,,,,
202100-2353,LÄNSSTYRELSEN I HALLANDS LÄN,,301 86,HALMSTAD,SLOTTSGATAN 2,302 42,HALMSTAD,,,halland@lansstyrelsen.se,www.lansstyrelsen.se/halland,2017:868,,,,,,,,,,,,,,,,,
202100-2452,LÄNSSTYRELSEN I JÄMTLANDS LÄN,,831 86,ÖSTERSUND,RESIDENSGRÄND 7,831 30,ÖSTERSUND,102253000.0,,jamtland@lansstyrelsen.se,www.lansstyrelsen.se/jamtland,2017:868,,,,,,,,,,,,,,,,,
202100-2288,LÄNSSTYRELSEN I JÖNKÖPINGS LÄN,,551 86,JÖNKÖPING,HAMNGATAN 4,553 16,JÖNKÖPING,102236000.0,,jonkoping@lansstyrelsen.se,www.lansstyrelsen.se/jonkoping,2017:868,,,,,,,,,,,,,,,,,
202100-2304,LÄNSSTYRELSEN I KALMAR LÄN,,391 86,KALMAR,Regeringsgatan 1,392 31,KALMAR,102238000.0,,kalmar@lansstyrelsen.se,www.lansstyrelsen.se/kalmar,2017:868,,,,,,,,,,,,,,,,,
202100-2296,LÄNSSTYRELSEN I KRONOBERGS LÄN,,351 86,VÄXJÖ,KUNGSGATAN 8,352 33,VÄXJÖ,102237000.0,,kronoberg@lansstyrelsen.se,www.lansstyrelsen.se/kronoberg,2017:868,,,,,,,,,,,,,,,,,
202100-2478,LÄNSSTYRELSEN I NORRBOTTENS LÄN,,971 86,LULEÅ,STATIONSGATAN 5,972 38,LULEÅ,102255000.0,,Norrbotten@lansstyrelsen.se,www.lansstyrelsen.se/norrbotten,2017:868,,,,,,,,,,,,,,,,,
202100-2346,LÄNSSTYRELSEN I SKÅNE LÄN,,205 15,MALMÖ,SÖDERGATAN 5,211 34,MALMÖ,102241000.0,,skane@lansstyrelsen.se,www.lansstyrelsen.se/skane,2017:868,,,,,,,,,,,,,,,,,
