Land	Namn	Ambassadör/Generalkonsul	PostAdress1	PostAdress2	PostAdress3	PostAdress4	PostAdress5	PostAdress6	PostAdress7	BesöksAdress1	BesöksAdress2	BesöksAdress3	BesöksAdress4	BesöksAdress5	BesöksAdress6	BesöksAdress7	Tfn	Fax	Epost	Webbadress
Colombia	Sveriges ambassad Bogotá	Helena Storm	Embajada de Suecia	Calle 72 No. 5-83	piso 8, Edificio Avenida Chile	Código postal 110231	Bogotá, D. C., Apartado Postal 52966	Colombia		Sveriges Ambassad	Calle 72 No. 5-83	piso 8 Edificio Avenida Chile	Bogotá D.C.				+57 (1) 325 61 00	+57 (1) 314 50 25	ambassaden.bogota@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/colombia-bogotá
Cypern	Sveriges ambassad Nicosia	Anders Hagelberg	Embassy of Sweden	P.O. Box 216 21	CY 1511 Nicosia	Cyprus				Sveriges Ambassad	9, Arch. Makarios III Avenue	Severis Building, 2nd floor	1065 Nicosia				+357 (22) 45 80 88	+357 (22) 37 45 22	ambassaden.nicosia@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/cypern-nicosia
D.R. Kongo	Sveriges ambassad Kinshasa	Henric Råsbrant	Ambassade de Suède	B.P. 11096, Kinshasa-Gombe	Demokratiska republikanen Kongo					93, avenue Roi Baudouin	Kinshasa-Gombe						+243 99 930 11 02		ambassaden.kinshasa@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/d.r.-kongo-kinshasa
Danmark	Sveriges ambassad Köpenhamn	Charlotte Wrangber	Sveriges Ambassad	Amaliegade 5A	1256 Köpenhamn K	Danmark				Sveriges Ambassad	Amaliegade 5A	1256 Köpenhamn K	Danmark				+45 (-) 33 36 03 70	+45 (-) 33 36 03 95	ambassaden.kopenhamn@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/danmark-köpenhamn
Egypten	Sveriges ambassad Kairo	Håkan Emsgård	Embassy of Sweden	13 Mohamed Mazhar St., Zamalek	Cairo	Egypten				Sveriges Ambassad	13, Mohamed Mahzar	Kairo					+20 (2) 2728 92 00	+20 (2) 2735 43 57	ambassaden.kairo@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/egypten-kairo
Estland	Sveriges ambassad Tallinn	Ingrid Tersman	Embassy of Sweden	Pikk 28	15055 Tallinn	Estland				Sveriges Ambassad	Pikk 28	Tallinn					+372 (-) 640 5600	+372 (-) 640 5695	ambassaden.tallinn@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/estland-tallinn
Etiopien	Sveriges ambassad Addis Abeba	Hans Lundquist	Embassy of Sweden	P. O. Box 1142	Addis Abeba	Ethiopia				Sveriges Ambassad	Lideta Sub-City	Woreda 09, House No 891	Addis Abeba				+251 (11) 518 00 00	+251 (11) 518 00 30	ambassaden.addis-abeba@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/etiopien-addis-abeba
Filippinerna	Sveriges ambassad Manila	Annika Thunborg	Sveriges ambassad	11th Floor, DelRosarioLaw Centre	Bonifacio, Global City, 1630 Taguig	Metro Manila, Phillipines				Sveriges ambassad	11th floor Del Rosario Law Centre	Bonifacio, Global City, 1630 Taguig	Metro Manila, Phillipines				+63 (2) 88117900	+63 (2) 88117940	ambassaden.manila@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/filippinerna-manila
Finland	Sveriges generalkonsulat Mariehamn	Claes Hammar	Sveriges generalkonsulat	Norragatan 44	ax22100 Mariehamn	Åland	Finland			Sveriges Generalkonsulat	Norragatan 44	Mariehamn					+358 18 196 24	+358 18 176 24	generalkonsulat.mariehamn@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/aland-mariehamn
Finland	Sveriges ambassad Helsingfors	Nicola Clase	Sveriges Ambassad	PB 168	FIN-00131 Helsingfors	Finland				Sveriges Ambassad	Norra Esplanaden 7 B	Helsingfors					+358 9 68 77 660	+358 9 17 64 16	ambassaden.helsingfors@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/finland-helsingfors
Frankrike	Sveriges ambassad Paris	Håkan Åkesson	Ambassade de Suède	17, rue Barbet-de-Jouy	75007 Paris	Frankrike				Sveriges Ambassad	17, rue Barbet-de-Jouy	75007 Paris					+33 (0)1 44 18 88 00	+33 (0)1 44 18 88 40	ambassaden.paris@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/frankrike-paris
Frankrike	Sveriges delegation Paris, OECD	Anna Brandt	La délégation de la Suède auprès de l'OCDE	17 rue Barbet-de-Jouy	75007 Paris	Frankrike				La délégation de la Suède auprès de l'OCDE	17 rue Barbet-de-Jouy	75007 Paris					+33 1 44 18 88 00	+33 1 44 18 88 10	oecd-del.paris@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/oecd-unesco/om-delegationen/delegationens-personal
Frankrike	Sveriges representation Europarådet Strasbourg	Mårten Ehnberg	The Permanent Representation of Sweden to the Council of Europé	67, allée de la Robertsau	67000 Strasbourg	Frankrike				67, allée de la Robertsau	Strasbourg						+33 3 88 24 60 50	+33 3 88 24 48 30	representationen.strasbourg@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/europarådet-strasbourg
Frankrike	Sveriges delegation UNESCO Paris	Anna Brandt	Déöégation de la Suède auprès de IÚNESCO	1 rue Miollis	75015 Paris												+33 1 45 68 34 50		unesco-del.paris@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/oecd-unesco/om-delegationen/delegationens-personal
Förenade arabemiraten	Sveriges ambassad Abu Dhabi	Liselott Andersson	Embassy of Sweden	P.O. Box 31867	Abu Dhabi	Förenade arabemiraten				Sveriges Ambassad	12th floor, Al Otaiba Tower	Sayed the 1st Street (Electra Street)	crossing with 4th Street				+971 (2) 417 88 00	+971 (2) 417 88 50	ambassaden.abu-dhabi@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/förenade-arabemiraten-abu-dhabi
Georgien	Sveriges ambassad Tbilisi	Ulrik Tideström	Embassy of Sweden	15 Turn Kipshidze Street	Vake region	0162 Tbilisi	Georgien			Sveriges ambassad	15 Turn Kipshidze Street	Vake region	0162 Tbilisi	Georgien			+995 32 255 03 20	+995 32 222 48 90	ambassaden.tbilisi@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/georgien-tbilisi
Grekland	Sveriges ambassad Athen	Johan Borgstam	Embassy of Sweden	Vassileos Konstantinou 7	106 74 Athen	Grekland				Sveriges Ambassad	Vassileos Konstantinou 7	Athen					+30 (210) 72 66 100	+30 (210) 72 66 150	ambassaden.athen@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/grekland-athen
Guatemala	Sveriges ambassad Guatemala	Hans Magnusson	Embajada de Suecia	Avenida Reforma 9-55,  zona 10	Edificio Reforma 10, Nivel 11	Ciudad de Guatemala				Sveriges Ambassad	Avenida la Reforma 9-55, zona 10	Edificio Reforma 10	nivel 11	Ciudad de Guatemala			+502 (2) 384 7300	+502 (2) 384 7350	ambassaden.guatemala@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/guatemala-guatemala
Indien	Sveriges ambassad New Delhi	Klas Molin	Embassy of Sweden	Nyaya Marg	Chanakyapuri	New Delhi 110 021	Indien			Sveriges Ambassad	4-5 Nyaya Marg, Chanakyapuri	New Delhi					+91 (11) 441 971 00	+91 (11) 441 971 01	ambassaden.new-delhi@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/indien-new-delhi
Indien	Svergies generalkonsulat Mumbai	Anna Lekvall	Consulate General of Sweden	3 Floor, C-53, TCG Financial Centre	G-Block, BKC, Bandra (E)	Mumbai - 400098	Maharashtra, India			Consulate General of Sweden	3 Floor, C-53, TCG Financial Centre	G-Block, BKC, Bandra (E)	Mumbai - 400098	Maharashtra, India			+91 22 6113 2300		consulategeneral.mumbai@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/indien-mumbai
Indonesien	Sveriges ambassad Jakarta	Marina Berg	Embassy of Sweden	Menara Rajawali, 9th floor	Kawasan Mega Kuningan, Lot 5.1	12950 Jakarta	Indonesia			Sveriges Ambassad	Menara Rajawali, 9th floor	JI. DR. Ide Anak Agung Gede Agung Lot #5.1	Kawasan Mega Kuningan	Jakarta 12950			+62 (21) 25535900		ambassaden.jakarta@gov.se	www.swedenabroad.se/en/embassies/indonesia-jakarta
Irak	Sveriges ambassad Bagdad	Jonas Lovén	Embassy of Sweden	P.O. Box 55550 Baghdad Post Office	Karadat Mariam	Bagdad, Iraq				House No 21	Karadat Mariam	District 22	Street No 8, Bagdad				+964 7835418300		ambassaden.bagdad@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/irak-bagdad
Iran	Sveriges ambassad Teheran	Mattias Lentz	Embassy of Sweden	P.O. Box 19575-458	Teheran	Iran				Sveriges Ambassad	27 Nastaran Str, Boostan St,	Pasdaran Ave	Teheran				+98 21 2371 22 00	+98 21 2229 64 51	ambassaden.teheran@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/iran-teheran
Island	Sveriges ambassad Reykjavik	Pär Ahlberger	Sveriges Ambassad	P.O. Box 8136	128 Reykjavik	Island				Sveriges Ambassad	Lágmúli 7	108 Reykjavik					+354 (-) 520 12 30	+354 (-) 520 12 35	ambassaden.reykjavik@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/island-reykjavik
Israel	Sveriges ambassad Tel Aviv	Erik Ullenhag	Embassy of Sweden	P.O.B. 9393	Tel Aviv 6109301	Israel				Sveriges Ambassad	Adgar 360, 24 th floor	2, Hashlosha St	Tel Aviv	Israel			+972 3 718 00 00	+972 3 718 00 05	ambassaden.tel-aviv@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/israel-tel-aviv
Israel	Sveriges generalkonsulat Jerusalem	Julius Liljeström	Consulate General of Sweden	P.O. Box 297	Jerusalem 91002					5, Ibn Jubir Street	Sheikh Jarrah	Jerusalem					+972 2 646 58 60		generalkonsulat.jerusalem@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/jerusalem
Italien	Sveriges ambassad Rom	Jan Björklund	Ambasciata di Svezia	Piazza Rio de Janeiro 3	00161 Rom RM	Italien				Sveriges Ambassad	Piazza Rio de Janeiro 3	00161 Rom RM	Italien				+39 (-)06 44 19 41 00	+39 (-)06 44 44194760	ambassaden.rom@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/italien-rom
Japan	Sveriges ambassad Tokyo	Pereric Högberg	Embassy of Sweden	1-10-3-100 Roppongi	Minato-ku	Tokyo 106-0032	Japan			Sveriges Ambassad	1-10-3-100 Roppongi	Minato-ku	Tokyo 106-0032				+81 3 55 62 50 50	+81 3 55 62 90 95	ambassaden.tokyo@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/japan-tokyo
Jordanien	Sveriges ambassad Amman	Alexandra Rydmark	Embassy of Sweden	P.O. Box 830536	11183 Amman	Jordanien				Sveriges Ambassad	20 Abdul Majeed Al-Adwan Street	Abdoun	Amman				+962 6 590 1300	+962 6 593 0179	ambassaden.amman@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/jordanien-amman
Kanada	Sveriges ambassad Ottawa	Urban Ahlin	Embassy of Sweden	377 Dalhousie Street, Suite 305	Ottawa, ON K1N 9N8	Kanada				Sveriges Ambassad	377 Dalhousie Street, Suite 305	Ottawa					+1 (613) 244 8200	+1 (613) 244 2277	sweden.ottawa@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/kanada-ottawa
Kazakstan	Sveriges Ambassad Nur-Sultan	Mats Foyer	Embassy of Sweden	Astana Tower 17th floor	12 Samal Microdistrict	010000 Nur-Sultan	Republic of Kazakhstan			Embassy of Sweden	Astana Tower 17th floor	12 Samal Microdistrict	010000 Nur-Sultan	Republic of Kazakhstan			+7 7172 591805		ambassaden.nur-sultan@gov.se	www.swedenabroad.se/en/embassies/kazakhstan-astana
Kenya	Sveriges ambassad Nairobi	Caroline Vicini	Embassy of Sweden	P.O. Box 30600	00100 Nairobi					Sveriges Ambassad	United Nations Crescent	Gigiri Nairobi					+254 20 423 40 00	+254 20 423 43 39	ambassaden.nairobi@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/kenya-nairobi
Kina	Sveriges ambassad Peking	Helena Sångeland	Embassy of Sweden	3 Dongzhimenwaii Dajie	Sanlitun, Chaoyang District	Beijing 100600	China			Sveriges Ambassad	3 Dongzhimenwai Dajie	Sanlitun, Chaoyang District	Beijing				+86 (10) 8531 1800	+86 (10) 6532 5008	ambassaden.peking@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/kina-peking
Kina	Sveriges generalkonsulat Shanghai	Marie-Claire Swärd Capra	Consulate General of Sweden	1521-1541,  Central Plaza	381 Huaihai Road (Middle)	Shanghai 200020	China										+86-21-5359 9610		generalkonsulat.shanghai@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/kina-shanghai
Kina	Sveriges generalkonsulat Hongkong	Per Augustsson	Consulate General of Sweden	Room 2501, 25/F.	BEA Harbour View Centre	56 Gloucester Road	Wanchai, Hongkong			Consulate General of Sweden	Room 2501, 25/F.	BEA Harbour View Centre	56 Gloucester Road	Wanchai, Hongkong			+85 2 2521 1212	+85 2 2596 0308	generalkonsulat.hongkong@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/hong-kong
Kosovo	Sveriges ambassad Pristina	Karin Hernmarck Ahliny	Sveriges Ambassad	Str. Perandori Justinian, No 111	Pejton	10000 Pristina	Republiken Kosovo			Sveriges Ambassad	Str. Perandori Justinian, No 111	Pejton	10 000 Pristina	Republiken Kosovo			+381 (0) 38 245 795	+381 (0) 38 245 791	ambassaden.pristina@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/kosovo-pristina
Kroatien	Sveriges ambassad  Zagreb	Diana Madunic	Embassy of Sweden	P.P. 779	10 000 Zagreb	Kroatien				Sveriges Ambassad	Strojarska 20, 24 th floor	10 000 Zagreb					+385 (1) 49 25 100	+385 (1) 49 25 125	ambassaden.zagreb@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/kroatien-zagreb
Kuba	Sveriges ambassad Havanna	Tomas Wiklund	Embajada de Suecia	# 510, Calle 34	e/5a y 7a, Miramar	La Havanna	Cuba			Sveriges Ambassad	# 510, Calle 34	e/5a y 7a, Miramar	La Havanna				+53 (7) 204 28 31	+53 (7) 204 11 94	ambassaden.havanna@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/kuba-havanna
Lettland	Sveriges ambassad Riga	Karin Höglund	Embassy of Sweden	Andreja Pumpura Street 8	LV-1010 Riga	Lettland				Sveriges Ambassad	Andreja Pumpura iela 8	1010 Riga					+371 (-) 67 68 66 00	+371 (-) 67 68 66 01	ambassaden.riga@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/lettland-riga
Libanon	Sveriges ambassad Beirut	Ann Dismorr	Riad el Solh	P.O. Box 11-4883	Beirut					1347 Minet el Hosn	French Avenue (bredvid Beirut Souks)	French Avenue Building, 6e våningen	Down Town, Beirut				+961 (0)1 951 200		ambassaden.beirut@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/libanon--beirut
Liberia	Sveriges ambassad Monrovia	Urban Sjöström	Embassy of Sweden	LCL Compound	12th St Sinkor	Oceanfront	Monrovia, Liberia			LCL Compound	12th St Sinkor	Oceanfront	Monrovia				+231 770 1738 01		www.swedenabroad.se/sv/utlandsmyndigheter/liberia-monrovia	www.swedenabroad.se/Monrovia
Litauen	Sveriges ambassad Vilnius	Inger Buxton	Embassy of Sweden	Didzioji g. 16	LT-01128 Vilnius	Litauen				Sveriges Ambassad	Didzioji g. 16	Vilnius					+370 (5) 268 50 10	+370 (5) 268 50 30	ambassaden.vilnius@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/litauen-vilnius
Makedonien	Sveriges ambassad Skopje	Kristin Forsgren Bengtsson	Embassy of Sweden	8ma Udarna Brigada No. 2	1000 Skopje	Norht Macedonia				Sveriges Ambassad	8ma Udarna Brigada No. 2	Skopje					+389 (2) 329 78 80	+389 (2) 311 20 65	ambassaden.skopje@gov.se	www.swedenabroad.se/en/embassies/north-macedonia-skopje
Malaysia	Sveriges ambassad Kuala Lumpur	Joachim Bergström	Embassy of Sweden	P.O.Box 10239	50708 Kuala Lumpur	Malaysia				Embassy of Sweden	A-12-2 Hampshire Place Office,	157 Hampshire,	1 Jalan Mayang Sari,	50450 Kuala Lumpur			+60-(0)3-220 30 200	+60-(0)3-220 30 201	ambassaden.kuala-lumpur@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/malaysia-kuala-lumpur
Mali	Sveriges ambassad Bamako	Kristina Kühnel	Ambassade de Suède	BP E2093	Bamako	Mali				Ambassade de Suède	Immeuble UATT, 2eme etage	Quartier du Fleuve	Bamako, Mali				+223 20 70 70 00	+223 20 70 70 10	ambassaden.bamako@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/mali-bamako
Marocko	Sveriges ambassad Rabat	Anne Höglund	Ambassade de Suède	P.O. Box 428	10001 Rabat	Marocko				Sveriges Ambassad	159, Avenue Mohamed IV	Rabat-Souissi	Marocko				+212 537 63 32 10	+212 537 75 80 48	ambassaden.rabat@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/marocko-rabat
Mexiko	Sveriges ambassad Mexiko	Gunnar Aldén	Embajada de Suecia	Paseo de las Palmas 1225	Col. Lomas de Chapultepec	11 000 México	CDMX, México			Sveriges Ambassad	Paseo de las Palmas 1225	Col. Lomas de Chapultepec	México				+52 55-91 78 50 10	+52 55-55 40 32 53	ambassaden.mexico@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/mexico-mexico-city
Moçambique	Sveriges ambassad Maputo	Mette Sunnergren	Embassy Of Sweden	Av. Julius Nyerere 1128	C.P. 338, Maputo	Moçambique				Sveriges Ambassad	Av. Julius Nyerere 1128	Maputo					+258-21-480 300		ambassaden.maputo@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/mocambique-maputo
Moldavien	Sveriges ambassad Chisinau	Katarina Fried	Embassy of Sweden	12 Toma Ciorba St.	MD2004	Chisinau	Moldavien			Sveriges ambassad	12 Toma Ciorba St.	MD2004, Chisinau					+373 22 26 73 20	+373 22 26 73 30	ambassaden.chisinau@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/moldavien-chisinau
Nederländerna	Sveriges ambassad Haag	Johannes Oljelund	Embassy of Sweden	Postbus 85601	2508 CH Den Haag	Nederländerna				Sveriges Ambassad	Johan de Wittlaan 7, Plan 4	2517 JR Den Haag					+31 (70) 412 02 00	+31 (70) 412 02 11	ambassaden.haag@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/nederländerna-haag
Nigeria	Sveriges ambassad Abuja	Carl Michael Gräns	Embassy of Sweden	PMB 569	Garki	Abuja	Nigeria			Sveriges Ambassad	41, T.Y. Danjuma Street (Plot 1520)	Asokoro District, Abuja					+234 9 904 73 02		ambassaden.abuja@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/nigeria-abuja
Nordkorea	Sveriges ambassad Pyongyang	Andreas Bengtsson	Embassy of Sweden	UD/Pyongyang	103 55 Stockholm					Sveriges Ambassad	Munsu-dong, Taehak Street	Taedonggang District	Pyongyang				+46 8 405 10 00		ambassaden.pyongyang@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/nordkorea-pyongyang
Norge	Sveriges ambassad Oslo	Cecilia Björner	Sveriges Ambassad	Postboks 4001 AMB	0244 Oslo	Norge				Sveriges Ambassad	Inkognitogata 27	0256 Oslo					+47 (-) 24 11 42 00	+47 (-) 22 55 15 96	ambassaden.oslo@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/norge-oslo
Pakistan	Sveriges ambassad Islamabad	Henrik Persson	Embassy of Sweden	P.O. Box 1100	Islamabad	Pakistan				Sveriges Ambassad	House No. 4, Street No. 5	Sector F-6/3	Islamabad				+92 (51) 207 26 00	+92 (51) 207 26 60	ambassaden.islamabad@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/pakistan-islamabad
Peru	Sveriges ambassad Lima	Maria Cramér	Calle La Santa María 120	San Isidro	Lima 27	Peru				Calle La Santa María 120	San Isidro	Lima	Peru				+511 5669240	+511 2210298	ambassaden.lima@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/peru-lima
Polen	Sveriges ambassad Warszawa	Stefan Gullgren	Embassy of Sweden	ul. Bagatela 3	00-585 Warszawa	Polen				Sveriges Ambassad	ul. Bagatela 3	00-585 Warszawa					+48 (22) 640 89 00	+48 (22) 640 89 83	ambassaden.warszawa@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/polen-warszawa
Portugal	Sveriges ambassad Lissabon	Helena Pilsas	Embaixada da Suécia	Rua Miguel Lupi, 12-2°-Dto	1249-077 Lisboa	Portugal				Embaixada da Suécia	Rua Miguel Lupi, 12-2°-Dto	1249-077 Lisboa					+351 (-) 213 942 261		ambassaden.lissabon@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/portugal-lissabon
Qatar	Sveriges ambassad Doha	Anders Bengtcén	P.O.Box 22649	West Bay, Doha	Qatar					Palm Tower B ("Monoprix Tower")	Suit 1302 (13th floor)	West Bay	Qatar				+974 4444 9500	+974 4444 3350	ambassaden.doha@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/qatar-doha
